repo,stars,pushed_at,lockfile_type,pytest_evidence,agent_pr_count_90d,sample_pr_numbers,trailer_kinds,base_sha_of_first_sample_pr,python_requires,lock_kind
crewAIInc/crewAI,57836,2026-08-28T22:36:31Z,uv.lock+pyproject.toml,conftest.py|pyproject:[tool.pytest.ini_options],12,7118;7117;7115;7066;7065,claude-coauthor;claude-code-gen;robot-gen,4bc5d2924218e892bd0bc91b46352b49b0d3a740,">=3.10,<3.14",uv.lock
omicverse/omicverse,1192,2026-08-28T09:41:27Z,pinned:requirements.txt,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,12,941;940;939;938;937,claude-coauthor;claude-code-gen;robot-gen,c3d00678bd8ad72109f530092be7085c043636fd,>=3.9,pinned-requirements
Soju06/codex-lb,2887,2026-08-31T01:09:47Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,11,1978;1977;1974;1973;1972,claude-code-gen;robot-gen,1d9332a32c3a62abdd1edd1d65b42b5eb4b1dacb,>=3.13,uv.lock
ohdearquant/lionagi,406,2026-08-26T07:33:12Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,11,3404;2551;2550;2549;2504,claude-coauthor;claude-code-gen;robot-gen,f20337057a1c310e7f734361f76dbd86430e55f3,>=3.10,uv.lock
brcampidelli/chimera-agent,20,2026-08-30T20:40:31Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,10,266;264;263;261;260,claude-code-gen;robot-gen,a8542cf540c71f57b5b0d595ad379afc6813a501,">=3.11,<3.14",uv.lock
openshift-eng/art-tools,12,2026-08-30T01:10:35Z,uv.lock+pyproject.toml,pyproject:pytest-dep,10,3329;3320;3318;3307;3300,claude-coauthor;claude-code-gen;robot-gen,827f6be926e036e5f8ad3d7ed499d90e37303565,>=3.11,uv.lock
microsoft/apm,3670,2026-08-30T17:45:14Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,9,2179;2178;2177;2176;2174,copilot,4633dbd505175aba7a0d829c44710edd0e15e5b4,>=3.10,uv.lock
OpenHands/software-agent-sdk,1044,2026-08-31T00:07:54Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py,9,3813;3548;3510;3506;3480,claude-coauthor;claude-code-gen;codex;openhands;robot-gen,3a0a43c9e4533c718671327e65d2314de322d3a7,,uv.lock
agentcage/agentcage,21,2026-08-30T22:14:09Z,uv.lock+pyproject.toml,pyproject:[tool.pytest.ini_options]|tests/conftest.py|tests/test_*.py,9,337;336;335;334;329,claude-code-gen;robot-gen,92dea6dda16dd3ed05a5e60a5649a17adb4bd601,>=3.12,uv.lock
Charli3-Official/charli3-dendrite,16,2026-08-31T01:13:08Z,poetry.lock,tests/conftest.py|tests/test_*.py,9,216;205;192;190;187,claude-code-gen;robot-gen,2bebe5ed6fa5b64e0888c5cd97932b0d09d3fbc7,,poetry.lock
